year,month,month_name,period,vol_import_bbl,spend_import_usd_fob,price_import_usd_bbl,vol_national_bbl,vol_total_bbl,wac_c1_usd_bbl,wac_c2_usd_bbl,diff_wac_minus_20,diff_wac_minus_25,foregone_revenue_c1_usd,foregone_revenue_c2_usd
2018,5,Maio,2018-05,11449294.149898943,832508787,72.71267347143389,57076785.296496294,68526079.44639523,28.807200249565266,32.971803401942076,8.807200249565266,7.971803401942076,603522904.0020213,546276433.2525265
2018,6,Junho,2018-06,13603067.548645452,967091021,71.0935983771028,54649933.39041303,68253000.93905848,30.183137158286517,34.186619249807194,10.183137158286517,9.186619249807194,695029670.0270909,627014332.2838632
2018,7,Julho,2018-07,18855675.730732683,1325399788,70.29182124933044,57405861.12997854,76261536.86071122,32.43465988781939,36.19840918353764,12.434659887819393,11.198409183537642,948286273.3853458,854007894.7316829
2018,8,Agosto,2018-08,18657003.74142828,1322376205,70.87827302428177,53524675.166681804,72181678.90811008,33.15065186250166,36.85828764878066,13.150651862501661,11.85828764878066,949236130.1714348,855951111.4642932
2018,9,Setembro,2018-09,11669078.847581794,881063338,75.50410358077103,50652896.3727774,62321975.2203592,30.39251016608955,34.45631720956643,10.39251016608955,9.456317209566429,647681761.048364,589336366.8104552
2018,10,Outubro,2018-10,17062402.742561754,1327188282,77.78437199172194,54496006.80141429,71558409.54397604,33.778118231412876,37.585917143427814,13.778118231412876,12.585917143427814,985940227.1487653,900628213.4359565
2018,11,Novembro,2018-11,17641219.61319961,1347774915,76.39919147038793,51108229.88961936,68749449.50281897,34.47212348507912,38.18911542168538,14.472123485079123,13.18911542168538,994950522.7360077,906744424.67001
2018,12,Dezembro,2018-12,22241032.834390346,1705628352,76.6883608643687,51789508.69105881,74030541.52544916,37.03091277373367,40.528760258292145,17.030912773733668,15.528760258292145,1260807695.3121927,1149602531.1402411
2019,1,Janeiro,2019-01,16713491.913337432,1096623834,65.61308909509746,51213696.10283923,67927188.01617667,31.223105475111065,34.99285493762694,11.223105475111065,9.992854937626937,762353995.7332511,678786536.1665643
2019,2,Fevereiro,2019-02,16610996.0655738,975038151,58.69835542377626,48490435.447559856,65101431.51313366,29.8741028384121,33.59832474263991,9.8741028384121,8.59832474263991,642818229.688524,559763249.3606547
2019,3,Março,2019-03,15763226.87618268,975587119,61.890063923019184,53187918.00337402,68951144.8795567,29.57667320288579,33.433601038984975,9.57667320288579,8.433601038984975,660322581.4763464,581506447.0954329
2019,4,Abril,2019-04,16628454.76621183,1135849711,68.30759243534695,53559443.15443468,70187897.92064652,31.444716816906833,35.26014972921518,11.444716816906833,10.260149729215179,803280615.6757634,720138341.844704
2019,5,Maio,2019-05,18621314.180230606,1255315645,67.4128384737051,53301669.78330692,71922983.96353753,32.27548292271887,35.980951386758754,12.275482922718872,10.980951386758754,882889361.3953882,789782790.494235
2019,6,Junho,2019-06,11790461.707233276,833060964,70.65549973237513,51401540.919970065,63192002.627203345,29.451381583501597,33.51847384066662,9.451381583501597,8.518473840666623,597251729.8553342,538299421.3191682
2019,7,Julho,2019-07,25299407.84223733,1649265256,65.18987583758991,54866642.72429637,80166050.5665337,34.26136239811879,37.683424626241155,14.261362398118791,12.683424626241155,1143277099.1552534,1016780059.9440672
2019,8,Agosto,2019-08,17344958.709387988,1122746479,64.73042097196297,56691098.92755189,74036057.63693988,30.479316829873117,34.30793093609385,10.479316829873117,9.307930936093847,775847304.8122402,689122511.2652998
